                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,1.8684,5.9758,2.3229,0.53122,0.125,0.10641,0.06072,1.1608,4.4738,1.859,0.07075,0.00325,0.00325
1,1.3552,3.5335,1.7658,0.18903,0.21528,0.16058,0.10044,1.8242,3.4578,2.4122,0.04062,0.006453,0.006453
2,1.2511,2.858,1.5789,0.30198,0.52455,0.38036,0.20593,1.5058,2.565,1.9437,0.010357,0.009524,0.009524
3,1.3189,2.5295,1.6186,0.48267,0.07639,0.081,0.03265,2.8501,4.6099,4.0761,0.009406,0.009406,0.009406
4,1.2687,2.311,1.5677,0.73249,0.30556,0.39057,0.18959,1.957,2.8119,2.6199,0.009406,0.009406,0.009406
5,1.3275,2.2543,1.629,0.43838,0.46258,0.4166,0.23383,1.7004,2.7406,2.3246,0.009208,0.009208,0.009208
6,1.262,2.1019,1.5702,0.22574,0.44444,0.37368,0.14845,2.1742,2.9908,2.9882,0.00901,0.00901,0.00901
7,1.2334,1.9141,1.5395,0.62876,0.37318,0.47526,0.27283,1.6718,2.461,2.2703,0.008812,0.008812,0.008812
8,1.2249,1.8703,1.5211,0.62908,0.51095,0.59894,0.38267,1.3751,1.7749,1.8991,0.008614,0.008614,0.008614
9,1.2048,1.8476,1.535,0.48175,0.33774,0.40174,0.25773,1.4564,2.3982,1.9487,0.008416,0.008416,0.008416
10,1.1601,1.7644,1.503,0.59572,0.60097,0.63468,0.44094,1.1486,1.6401,1.5812,0.008218,0.008218,0.008218
11,1.1739,1.679,1.5141,0.48277,0.65067,0.68464,0.46986,1.2194,1.7741,1.6856,0.00802,0.00802,0.00802
12,1.1387,1.5924,1.4753,0.4955,0.65539,0.64597,0.46106,1.0954,1.7834,1.5701,0.007822,0.007822,0.007822
13,1.1156,1.5861,1.4677,0.72983,0.54503,0.66662,0.45584,1.1839,1.5829,1.69,0.007624,0.007624,0.007624
14,1.103,1.4854,1.4438,0.67806,0.73991,0.81247,0.59345,1.0976,1.2802,1.5864,0.007426,0.007426,0.007426
15,1.1137,1.4792,1.4483,0.56876,0.71021,0.69888,0.48379,1.0862,1.5637,1.5462,0.007228,0.007228,0.007228
16,1.1008,1.4484,1.4486,0.70555,0.7142,0.76863,0.572,0.97071,1.3333,1.4759,0.00703,0.00703,0.00703
17,1.0617,1.3902,1.4389,0.50639,0.63943,0.65698,0.52123,0.95404,1.5723,1.5134,0.006832,0.006832,0.006832
